"","gender","home_location","level_of_education","age_years","number_of_subjects","devices_used","economic_status","family_size","internet_facility","sport_engagement","elder_supervising","study_time","sleep_time","social_media_time","gaming_interest","separate_room_study","group_study_engagement","average_mark_score","online_mode_interaction","interested","performance_level","satisfaction_level"
"1","Male","Urban","Under Graduate","18","11","Laptop","Middle Class","4","5","No","Yes","3","6","1","No","No","No","91-100","1","Practical","6","Average"
"2","Male","Urban","Under Graduate","19","7","Laptop","Middle Class","4","1","Yes","Yes","7","5","1","Yes","Yes","No","91-100","1","Theory","3","Bad"
"3","Male","Rural","Under Graduate","18","5","Laptop","Middle Class","5","2","No","Yes","6","7","1","No","Yes","No","71-80","1","Both","6","Bad"
"4","Male","Urban","Under Graduate","18","5","Laptop","Middle Class","4","4","Yes","Yes","3","6","2","No","No","yes","91-100","1","Theory","4","Bad"
"5","Male","Rural","Under Graduate","18","5","Laptop","Middle Class","4","3","No","No","8","7","2","Yes","Yes","yes","81-90","3","Both","6","Average"
"6","Male","Urban","Under Graduate","18","5","Laptop","Middle Class","4","4","Yes","Yes","3","6","2","No","No","yes","91-100","1","Theory","2","Bad"
"7","Male","Urban","Under Graduate","19","5","Laptop","Middle Class","5","5","No","No","2","6","3","Yes","Yes","yes","81-90","4","Both","6","Average"
"8","Male","Urban","Under Graduate","17","4","Laptop","Middle Class","4","4","Yes","Yes","4","8","6","No","Yes","No","61-70","3","Practical","6","Average"
"9","Female","Urban","Under Graduate","19","5","Laptop","Middle Class","4","4","No","Yes","6","6","2","No","Yes","yes","81-90","4","Both","9","Bad"
"10","Female","Rural","Under Graduate","20","9","Laptop","Middle Class","4","3","No","Yes","4","7","2","No","No","No","81-90","3","Theory","6","Average"
"11","Female","Urban","Under Graduate","18","4","Desktop","Middle Class","3","5","No","No","5","6","3","Yes","Yes","No","81-90","2","Practical","9","Average"
"12","Male","Rural","Post Graduate","25","5","Mobile","Middle Class","2","3","No","Yes","3","7","1","Yes","Yes","yes","71-80","3","Practical","7","Average"
"13","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","4","4","Yes","No","7","5","1","Yes","Yes","yes","81-90","4","Both","6","Average"
"14","Male","Urban","Under Graduate","17","5","Laptop","Middle Class","4","4","Yes","Yes","2","6","2","Yes","No","yes","81-90","3","Practical","5","Average"
"15","Male","Urban","School","21","5","Laptop","Middle Class","5","4","Yes","Yes","5","7","2","Yes","No","No","81-90","3","Both","6","Average"
"16","Male","Urban","School","20","5","Desktop","Middle Class","4","3","Yes","Yes","5","6","5","Yes","Yes","yes","91-100","2","Both","5","Bad"
"17","Female","Urban","Post Graduate","20","9","Laptop","Middle Class","4","4","No","Yes","8","5","2","No","No","No","31-40","2","Practical","6","Average"
"18","Male","Rural","Post Graduate","23","5","Desktop","Middle Class","6","3","No","No","5","7","2","Yes","Yes","No","81-90","2","Both","6","Bad"
"19","Female","Urban","School","18","4","Desktop","Middle Class","4","4","No","Yes","7","7","2","No","Yes","yes","81-90","2","Theory","7","Average"
"20","Female","Urban","Under Graduate","19","6","Laptop","Middle Class","4","5","No","Yes","5","7","4","No","Yes","No","81-90","3","Theory","6","Average"
"21","Male","Urban","Post Graduate","24","20","Laptop","Poor","6","3","No","No","8","8","2","No","No","No","81-90","2","Practical","4","Bad"
"22","Female","Urban","Post Graduate","22","8","Mobile","Middle Class","4","4","No","No","2","8","2","Yes","Yes","yes","81-90","3","Both","10","Good"
"23","Female","Urban","School","19","5","Mobile","Middle Class","5","5","No","Yes","6","7","2","No","Yes","yes","61-70","3","Both","7","Average"
"24","Female","Urban","Post Graduate","24","8","Laptop","Middle Class","4","3","No","Yes","7","6","2","Yes","No","No","81-90","3","Both","5","Average"
"25","Female","Urban","Under Graduate","18","6","Laptop","Middle Class","4","5","No","No","4","5","5","No","Yes","yes","91-100","3","Theory","6","Average"
"26","Female","Rural","Post Graduate","21","9","Mobile","Middle Class","4","3","No","No","7","8","4","Yes","Yes","No","81-90","3","Both","8","Good"
"27","Female","Urban","Under Graduate","19","7","Mobile","Middle Class","4","4","No","No","6","8","3","No","No","No","71-80","3","Theory","7","Average"
"28","Male","Rural","Under Graduate","21","8","Mobile","Poor","4","3","No","No","1","7","5","Yes","No","No","41-50","3","Theory","6","Average"
"29","Male","Urban","Under Graduate","20","7","Laptop","Middle Class","4","4","Yes","No","3","7","4","Yes","Yes","No","81-90","4","Both","8","Average"
"30","Female","Urban","Under Graduate","17","5","Laptop","Middle Class","3","3","No","Yes","5","6","3","No","No","yes","91-100","3","Practical","6","Average"
"31","Male","Urban","Under Graduate","22","4","Laptop","Middle Class","4","5","Yes","Yes","6","7","3","Yes","Yes","yes","61-70","5","Both","10","Good"
